date,Payweek,Weekends,Holidays,Festival,Day_of_Month,Day_of_Week,Week_YearWise,Week_QuarterWise
2014-12-15,0,0,0,0,15,2,51,12
2014-12-16,0,0,0,0,16,3,51,12
2014-12-17,0,0,0,0,17,4,51,12
2014-12-18,0,1,0,0,18,5,51,12
2014-12-19,0,1,0,0,19,6,51,12
2014-12-20,0,1,0,0,20,7,51,12
2014-12-21,0,0,0,0,21,1,52,13
2014-12-22,0,0,0,0,22,2,52,13
2014-12-23,0,0,0,0,23,3,52,13
2014-12-24,0,0,0,1,24,4,52,13
2014-12-25,1,1,0,1,25,5,52,13
2014-12-26,1,1,0,0,26,6,52,13
2014-12-27,1,1,0,0,27,7,52,13
2014-12-28,1,0,0,0,28,1,53,14
2014-12-29,1,0,0,0,29,2,53,14
2014-12-30,1,0,0,0,30,3,53,14
2014-12-31,1,0,0,1,31,4,53,14
2015-01-01,1,1,1,1,1,5,1,1
2015-01-02,1,1,0,0,2,6,1,1
2015-01-03,0,1,1,1,3,7,1,1
2015-01-04,0,0,0,0,4,1,2,2
2015-01-05,0,0,0,0,5,2,2,2
2015-01-06,0,0,0,0,6,3,2,2
2015-01-07,0,0,0,0,7,4,2,2
2015-01-08,0,1,0,0,8,5,2,2
2015-01-09,0,1,0,0,9,6,2,2
2015-01-10,0,1,0,0,10,7,2,2
2015-01-11,0,0,0,0,11,1,3,3
2015-01-12,0,0,0,0,12,2,3,3
2015-01-13,0,0,0,0,13,3,3,3
2015-01-14,0,0,0,0,14,4,3,3
2015-01-15,0,1,0,0,15,5,3,3
2015-01-16,0,1,0,0,16,6,3,3
2015-01-17,0,1,0,0,17,7,3,3
2015-01-18,0,0,0,0,18,1,4,4
2015-01-19,0,0,0,0,19,2,4,4
2015-01-20,0,0,0,0,20,3,4,4
2015-01-21,0,0,0,0,21,4,4,4
2015-01-22,0,1,0,0,22,5,4,4
2015-01-23,0,1,0,0,23,6,4,4
2015-01-24,0,1,0,0,24,7,4,4
2015-01-25,1,0,0,0,25,1,5,5
2015-01-26,1,0,0,0,26,2,5,5
2015-01-27,1,0,0,0,27,3,5,5
2015-01-28,1,0,0,0,28,4,5,5
2015-01-29,1,1,0,0,29,5,5,5
2015-01-30,1,1,0,0,30,6,5,5
2015-01-31,1,1,0,0,31,7,5,5
2015-02-01,1,0,0,0,1,1,6,6
2015-02-02,1,0,0,0,2,2,6,6
2015-02-03,0,0,0,0,3,3,6,6
2015-02-04,0,0,0,0,4,4,6,6
2015-02-05,0,1,0,0,5,5,6,6
2015-02-06,0,1,0,0,6,6,6,6
2015-02-07,0,1,0,0,7,7,6,6
2015-02-08,0,0,0,0,8,1,7,7
2015-02-09,0,0,0,0,9,2,7,7
2015-02-10,0,0,0,0,10,3,7,7
2015-02-11,0,0,0,0,11,4,7,7
2015-02-12,0,1,0,0,12,5,7,7
2015-02-13,0,1,0,0,13,6,7,7
2015-02-14,0,1,0,0,14,7,7,7
2015-02-15,0,0,0,0,15,1,8,8
2015-02-16,0,0,0,0,16,2,8,8
2015-02-17,0,0,0,0,17,3,8,8
2015-02-18,0,0,0,0,18,4,8,8
2015-02-19,0,1,0,0,19,5,8,8
2015-02-20,0,1,0,0,20,6,8,8
2015-02-21,0,1,0,0,21,7,8,8
2015-02-22,0,0,0,0,22,1,9,9
2015-02-23,0,0,0,0,23,2,9,9
2015-02-24,0,0,0,0,24,3,9,9
2015-02-25,1,0,0,0,25,4,9,9
2015-02-26,1,1,0,0,26,5,9,9
2015-02-27,1,1,0,0,27,6,9,9
2015-02-28,1,1,0,0,28,7,9,9
2015-03-01,1,0,0,0,1,1,10,10
2015-03-02,1,0,0,0,2,2,10,10
2015-03-03,0,0,0,0,3,3,10,10
2015-03-04,0,0,0,0,4,4,10,10
2015-03-05,0,1,0,0,5,5,10,10
2015-03-06,0,1,0,0,6,6,10,10
2015-03-07,0,1,0,0,7,7,10,10
2015-03-08,0,0,0,0,8,1,11,11
2015-03-09,0,0,0,0,9,2,11,11
2015-03-10,0,0,0,0,10,3,11,11
2015-03-11,0,0,0,0,11,4,11,11
2015-03-12,0,1,0,0,12,5,11,11
2015-03-13,0,1,0,0,13,6,11,11
2015-03-14,0,1,0,0,14,7,11,11
2015-03-15,0,0,0,0,15,1,12,12
2015-03-16,0,0,0,0,16,2,12,12
2015-03-17,0,0,0,0,17,3,12,12
2015-03-18,0,0,0,0,18,4,12,12
2015-03-19,0,1,0,0,19,5,12,12
2015-03-20,0,1,0,0,20,6,12,12
2015-03-21,0,1,0,0,21,7,12,12
2015-03-22,0,0,0,0,22,1,13,13
2015-03-23,0,0,0,0,23,2,13,13
2015-03-24,0,0,0,0,24,3,13,13
2015-03-25,1,0,0,0,25,4,13,13
2015-03-26,1,1,0,0,26,5,13,13
2015-03-27,1,1,0,0,27,6,13,13
2015-03-28,1,1,0,0,28,7,13,13
2015-03-29,1,0,0,0,29,1,14,14
2015-03-30,1,0,0,0,30,2,14,14
2015-03-31,1,0,0,0,31,3,14,14
2015-04-01,1,0,0,0,1,4,14,1
2015-04-02,1,1,0,0,2,5,14,1
2015-04-03,0,1,0,0,3,6,14,1
2015-04-04,0,1,0,0,4,7,14,1
2015-04-05,0,0,0,0,5,1,15,2
2015-04-06,0,0,0,0,6,2,15,2
